traj,em_collapsed,em_step,em_type,lam_collapsed,lam_step,lam_type
491,1,286,1,1,286,3
492,0,-1,0,0,-1,0
493,0,-1,0,0,-1,0
494,1,300,1,1,302,1
495,0,-1,0,0,-1,0
496,0,-1,0,0,-1,0
497,0,-1,0,0,-1,0
498,0,-1,0,0,-1,0
499,0,-1,0,0,-1,0
500,0,-1,0,0,-1,0
501,0,-1,0,0,-1,0
502,1,279,1,1,281,1
503,0,-1,0,0,-1,0
504,0,-1,0,0,-1,0
505,0,-1,0,0,-1,0
506,1,291,1,1,291,1
507,0,-1,0,0,-1,0
508,1,348,1,1,346,1
509,1,324,1,1,341,1
510,0,-1,0,0,-1,0
511,0,-1,0,0,-1,0
512,0,-1,0,0,-1,0
513,0,-1,0,0,-1,0
514,0,-1,0,0,-1,0
515,0,-1,0,0,-1,0
516,0,-1,0,0,-1,0
517,1,368,1,1,361,1
518,0,-1,0,0,-1,0
519,0,-1,0,0,-1,0
520,1,278,1,1,284,1
521,1,269,1,1,272,1
522,0,-1,0,0,-1,0
523,0,-1,0,0,-1,0
524,1,280,3,1,283,3
525,0,-1,0,0,-1,0
526,0,-1,0,0,-1,0
527,0,-1,0,0,-1,0
528,1,299,1,1,299,1
529,0,-1,0,0,-1,0
530,1,294,3,1,287,3
531,0,-1,0,0,-1,0
532,0,-1,0,0,-1,0
533,0,-1,0,0,-1,0
534,0,-1,0,0,-1,0
535,0,-1,0,0,-1,0
536,0,-1,0,0,-1,0
537,1,294,1,1,297,1
538,1,290,1,1,292,1
539,0,-1,0,0,-1,0
540,0,-1,0,0,-1,0
541,0,-1,0,0,-1,0
542,0,-1,0,0,-1,0
543,1,311,1,1,329,1
544,0,-1,0,0,-1,0
545,0,-1,0,0,-1,0
546,0,-1,0,0,-1,0
547,0,-1,0,0,-1,0
548,1,271,3,1,274,1
549,0,-1,0,0,-1,0
550,0,-1,0,0,-1,0
551,0,-1,0,0,-1,0
552,0,-1,0,0,-1,0
553,0,-1,0,0,-1,0
554,0,-1,0,0,-1,0
555,0,-1,0,0,-1,0
556,0,-1,0,0,-1,0
557,0,-1,0,0,-1,0
558,1,283,1,1,282,1
559,0,-1,0,0,-1,0
560,0,-1,0,0,-1,0
561,0,-1,0,0,-1,0
562,1,278,1,1,294,1
563,0,-1,0,0,-1,0
564,0,-1,0,0,-1,0
565,1,340,1,1,342,1
566,0,-1,0,0,-1,0
567,0,-1,0,0,-1,0
568,0,-1,0,0,-1,0
569,0,-1,0,0,-1,0
570,0,-1,0,0,-1,0
571,0,-1,0,0,-1,0
572,1,277,1,1,278,1
573,0,-1,0,0,-1,0
574,0,-1,0,0,-1,0
575,0,-1,0,0,-1,0
576,0,-1,0,0,-1,0
577,1,310,1,1,298,1
578,0,-1,0,0,-1,0
579,1,265,1,1,269,1
580,0,-1,0,0,-1,0
581,0,-1,0,0,-1,0
582,0,-1,0,0,-1,0
583,0,-1,0,0,-1,0
584,0,-1,0,0,-1,0
585,1,412,3,0,-1,0
586,0,-1,0,0,-1,0
587,0,-1,0,0,-1,0
588,1,274,3,1,277,3
589,0,-1,0,0,-1,0
590,0,-1,0,0,-1,0
591,0,-1,0,0,-1,0
592,0,-1,0,0,-1,0
593,0,-1,0,0,-1,0
594,0,-1,0,0,-1,0
595,0,-1,0,0,-1,0
596,0,-1,0,0,-1,0
597,0,-1,0,0,-1,0
598,1,298,1,1,295,1
