Date,n_sectors,rho,sigma_single,sigma_port,DB,DB_theory,DB_max,NFCI,VIX
2018-06-06,10,0.5426224382040516,0.17505658057324164,0.137559844014852,1.2725849016980655,1.3037020805606498,3.1622776601683795,-0.56,11.640000343322754
2018-06-07,10,0.5424525186612129,0.17506052845181094,0.1374067475924781,1.2740315269742553,1.3038715438346224,3.1622776601683795,-0.56,12.130000114440918
2018-06-08,10,0.543757565510434,0.17459108223870576,0.1371544146094887,1.272952698867245,1.3025716938674508,3.1622776601683795,-0.554,12.18000030517578
2018-06-11,10,0.5443435676858723,0.17440612465044134,0.13707595195203584,1.2723320332035168,1.3019892885887134,3.1622776601683795,-0.554,12.350000381469728
2018-06-12,10,0.5430596225516673,0.17457280263918618,0.1370207359437639,1.2740611954590173,1.3032663736631407,3.1622776601683795,-0.554,12.34000015258789
2018-06-13,10,0.5330066493659251,0.1736812734819336,0.13522291304000628,1.2844071287722463,1.3133972666985865,3.1622776601683795,-0.554,12.9399995803833
2018-06-14,10,0.5316370477087595,0.17421582457866816,0.13534324080795973,1.2872148142652002,1.3147958501148886,3.1622776601683795,-0.554,12.119999885559082
2018-06-15,10,0.5333214904644629,0.17401692386982287,0.13539115639236526,1.285290180737652,1.313076393766788,3.1622776601683795,-0.547,11.979999542236328
2018-06-18,10,0.5225241190733023,0.16727864073509208,0.12821156416501078,1.3047079007615976,1.3242167813441603,3.1622776601683795,-0.547,12.3100004196167
2018-06-19,10,0.49138656997799246,0.16342785440305146,0.1223105795299106,1.336171041222855,1.35800401956666,3.1622776601683795,-0.547,13.350000381469728
2018-06-20,10,0.46177484021951154,0.1570790357579885,0.1143164109030251,1.3740724933294053,1.3926585799070696,3.1622776601683795,-0.547,12.789999961853027
2018-06-21,10,0.4684609652664785,0.15451112031757414,0.11278042424687582,1.3700171935809535,1.3846022044461173,3.1622776601683795,-0.547,14.640000343322754
2018-06-22,10,0.48054506120769436,0.15353699905700455,0.1131121543838939,1.357387275428526,1.370389572958152,3.1622776601683795,-0.541,13.770000457763672
2018-06-25,10,0.46531456054950876,0.15466699205481568,0.1125220567913068,1.374548212726635,1.3883759694817468,3.1622776601683795,-0.541,17.329999923706055
2018-06-26,10,0.42604024609561997,0.14807649758006627,0.10364149188870582,1.4287376115646468,1.4382368323975652,3.1622776601683795,-0.541,15.920000076293944
2018-06-27,10,0.4119162831777941,0.1472775710920403,0.10157969511095283,1.449872151429209,1.4575267266588585,3.1622776601683795,-0.541,17.90999984741211
2018-06-28,10,0.4065970007555775,0.14595148632686286,0.10017018084940156,1.4570352682730012,1.4649953976128662,3.1622776601683795,-0.541,16.850000381469727
2018-06-29,10,0.4040670846867107,0.14465782284781148,0.098918393396953,1.4623955958050103,1.4685881120950817,3.1622776601683795,-0.538,16.09000015258789
2018-07-02,10,0.3595364317496454,0.13866237008519985,0.08987526923778102,1.5428312066397696,1.5364939248594323,3.1622776601683795,-0.538,15.600000381469728
2018-07-03,10,0.3580883783105014,0.13886675120401049,0.08983859144457233,1.5457360692224014,1.5388630784424793,3.1622776601683795,-0.538,16.139999389648438
2018-07-05,10,0.36077041153096345,0.13589110269216054,0.08768511576542773,1.549762482559661,1.5344836283221275,3.1622776601683795,-0.538,14.970000267028809
2018-07-06,10,0.3649468325830799,0.1359454755398914,0.08819621410300552,1.5413980851957987,1.5277378451023214,3.1622776601683795,-0.539,13.369999885559082
2018-07-09,10,0.36016067041827315,0.13793854120139507,0.08834009642753114,1.5614488412354346,1.5354759806657012,3.1622776601683795,-0.539,12.6899995803833
2018-07-10,10,0.3653477873324488,0.13775210826189335,0.08874686145887102,1.5521913225712596,1.5270948907239679,3.1622776601683795,-0.539,12.640000343322754
2018-07-11,10,0.35815091560542955,0.13840859090666086,0.08858060981438046,1.5625156701528056,1.5387605349430964,3.1622776601683795,-0.539,13.630000114440918
2018-07-12,10,0.3507878759955306,0.13741756624941193,0.08723231416129108,1.5753057518952112,1.5509765813963308,3.1622776601683795,-0.539,12.579999923706056
2018-07-13,10,0.35375769706003635,0.1368934199985083,0.08720585299584808,1.5697733041499617,1.5460144254024812,3.1622776601683795,-0.545,12.18000030517578
2018-07-16,10,0.3558967236311053,0.13480634302986141,0.08610991011917025,1.5655148500712475,1.5424697725152696,3.1622776601683795,-0.545,12.829999923706056
2018-07-17,10,0.34381336057885215,0.13371205280285006,0.08441426294939326,1.5839983449599158,1.5628204863763773,3.1622776601683795,-0.545,12.0600004196167
2018-07-18,10,0.3385174975330132,0.13456294155273754,0.08442814097882685,1.593816232273593,1.5719972322959594,3.1622776601683795,-0.545,12.100000381469728
2018-07-19,10,0.3277624076220126,0.13114970492770375,0.08067520782426628,1.6256506610232153,1.591142429983109,3.1622776601683795,-0.545,12.869999885559082
2018-07-20,10,0.32841651092771623,0.13144103975217442,0.08088938653339645,1.6249479120218935,1.5899580231591395,3.1622776601683795,-0.553,12.859999656677246
2018-07-23,10,0.31897152027906805,0.13019412553244875,0.0790598363682738,1.6467795977464836,1.607321645015371,3.1622776601683795,-0.553,12.619999885559082
2018-07-24,10,0.31981590729933446,0.13019069796747246,0.07942401556546999,1.6391855415589633,1.6057461264515411,3.1622776601683795,-0.553,12.40999984741211
2018-07-25,10,0.32006744323496406,0.12987532622198414,0.07918227780885098,1.640206998534547,1.6052776873635395,3.1622776601683795,-0.553,12.289999961853027
2018-07-26,10,0.3165738507685545,0.13037260829307776,0.07916334108319927,1.6468810753712184,1.611820797712639,3.1622776601683795,-0.553,12.140000343322754
2018-07-27,10,0.3126887960167329,0.12946976132029522,0.0784065077432286,1.651262950574107,1.6191918778907273,3.1622776601683795,-0.562,13.029999732971191
2018-07-30,10,0.3132644473798112,0.12999651714306049,0.07873032932402914,1.6511618617526154,1.6180933151969135,3.1622776601683795,-0.562,14.260000228881836
2018-07-31,10,0.2968108065716718,0.12972187836046956,0.07697144777927518,1.685324650933714,1.650403838199141,3.1622776601683795,-0.562,12.829999923706056
2018-08-01,10,0.29762652100589115,0.13064264822053764,0.07768680657044036,1.6816581088589482,1.6487561668354727,3.1622776601683795,-0.562,13.149999618530272
2018-08-02,10,0.2935333135407144,0.12965259088068912,0.07737570998895787,1.675623925120578,1.6570742353483585,3.1622776601683795,-0.562,12.1899995803833
2018-08-03,10,0.29346131350323296,0.12883953705733456,0.076553072986633,1.683009342810201,1.6572216800233057,3.1622776601683795,-0.571,11.640000343322754
2018-08-06,10,0.28165817385269104,0.12778764995854316,0.07481560582872239,1.7080346879913164,1.68193801373844,3.1622776601683795,-0.571,11.270000457763672
2018-08-07,10,0.2837185520032435,0.12771849031640947,0.0748529740090612,1.7062580613156229,1.6775437628896044,3.1622776601683795,-0.571,10.93000030517578
2018-08-08,10,0.28660760904242466,0.12788061054398708,0.07520410710320541,1.700447162659504,1.6714397591689767,3.1622776601683795,-0.571,10.850000381469728
2018-08-09,10,0.27801073223682704,0.12661097400861304,0.0737338479046978,1.71713504186381,1.6898024676318906,3.1622776601683795,-0.571,11.270000457763672
2018-08-10,10,0.2882725897303917,0.1274231106420738,0.07513486670886561,1.6959251573016816,1.6679521088444846,3.1622776601683795,-0.58,13.15999984741211
2018-08-13,10,0.29319314297698074,0.12734969109180408,0.07580572162744267,1.6799482724758048,1.6577711972935323,3.1622776601683795,-0.58,14.779999732971191
2018-08-14,10,0.2980986154775739,0.12758329971091237,0.07645800788485546,1.668671513166427,1.64780482911502,3.1622776601683795,-0.58,13.3100004196167
2018-08-15,10,0.28894361063081264,0.1293092285913567,0.07666655412666848,1.6866445879087248,1.66655267473347,3.1622776601683795,-0.58,14.640000343322754
2018-08-16,10,0.3018709368746928,0.1300063564507451,0.07824404681312029,1.661549494765461,1.6402617536509891,3.1622776601683795,-0.58,13.449999809265137
2018-08-17,10,0.3040107179336494,0.12998871379567142,0.07852291312620294,1.6554239854391553,1.6360288569765675,3.1622776601683795,-0.587,12.640000343322754
2018-08-20,10,0.3038888415503299,0.12970379611497174,0.0784005228163413,1.6543741222084951,1.636269072236361,3.1622776601683795,-0.587,12.489999771118164
2018-08-21,10,0.3015061121531779,0.1295117526765974,0.07806257534970361,1.6590760949970265,1.6409867304433352,3.1622776601683795,-0.587,12.859999656677246
2018-08-22,10,0.29282859996395594,0.12690173609615724,0.07536056602780777,1.683927586867261,1.658519072044498,3.1622776601683795,-0.587,12.25
2018-08-23,10,0.26442975730113133,0.12378913594720321,0.07063461113307055,1.7525280306844662,1.720085925082596,3.1622776601683795,-0.587,12.40999984741211
2018-08-24,10,0.25780147403290715,0.12262944866066018,0.06941823842952789,1.766530690420088,1.7354695966085798,3.1622776601683795,-0.593,11.989999771118164
2018-08-27,10,0.25835922801568234,0.12183917643799907,0.06917886857185558,1.7612195595746933,1.734159165751231,3.1622776601683795,-0.593,12.15999984741211
2018-08-28,10,0.2586158716647394,0.12136828773159651,0.06904944226657414,1.757701202900942,1.7335571834535384,3.1622776601683795,-0.593,12.5
2018-08-29,10,0.2609329798212876,0.12150017774041781,0.06943460656449425,1.749850452851094,1.728150413925101,3.1622776601683795,-0.593,12.25
2018-08-30,10,0.27158287435776074,0.11940589423094236,0.06970036367792103,1.7131315811020158,1.7039346201071677,3.1622776601683795,-0.593,13.529999732971191
