xi,target,J,h_eff_star,h0_star_pred_window,h0_star_pred_equil
0.35,0.2,3.12,0.3040186359446358,1.520093179723179,0.04343123370637654
0.35,0.2,3.13,0.3053624427344044,1.526812213672022,0.043623206104914915
0.35,0.2,3.14,0.3067001806389064,1.533500903194532,0.043814311519843774
0.35,0.2,3.15,0.30803192878562685,1.5401596439281342,0.04400456125508955
0.35,0.2,3.16,0.30935776458847986,1.5467888229423992,0.04419396636978284
0.35,0.2,3.17,0.3106777637993645,1.5533888189968226,0.0443825376856235
0.35,0.2,3.18,0.31199200055774623,1.559960002788731,0.04457028579396375
0.35,0.2,3.19,0.3133005474383493,1.5665027371917464,0.044757221062621325
0.35,0.2,3.2,0.314603475497051,1.5730173774852547,0.04494335364243585
0.35,0.2,3.21,0.3159008543150608,1.579504271575304,0.04512869347358012
0.35,0.2,3.22,0.3171927520414563,1.5859637602072814,0.04531325029163662
0.35,0.2,3.23,0.3184792354341585,1.5923961771707924,0.045497033633451214
0.35,0.2,3.24,0.3197603698994084,1.598801849497042,0.045680052842772635
0.35,0.2,3.25,0.321036219529816,1.60518109764908,0.045862317075688
