J,mu,seed,collapsed,collapse_type,collapse_step,final_m,final_W,condition,alpha
0.5,40,37,1,3,506,-0.14541765334097734,0.0,active_coupling,1.0
0.5,40,38,1,3,429,-0.2643757562074657,0.0,active_coupling,1.0
0.5,40,39,1,2,489,0.26585890473622587,0.0,active_coupling,1.0
0.5,40,40,1,3,389,-0.7109405590336845,0.0,active_coupling,1.0
0.5,40,41,1,3,410,0.13591219641311625,0.0,active_coupling,1.0
0.5,40,42,1,3,401,0.43775864279192256,2.9204107692474124,active_coupling,1.0
0.5,40,43,1,2,407,-0.3088279411890281,0.0,active_coupling,1.0
0.5,40,44,1,3,665,0.3474306682300277,0.0,active_coupling,1.0
0.5,40,45,1,2,469,-0.38748479365337224,0.0,active_coupling,1.0
0.5,40,46,1,2,342,-0.6461229026974041,0.0,active_coupling,1.0
0.5,40,47,1,3,443,-0.20290222037879385,0.0,active_coupling,1.0
0.5,40,48,1,2,326,-0.39900358818132314,0.0,active_coupling,1.0
0.5,40,49,1,3,344,-0.006708177626319228,0.0,active_coupling,1.0
0.5,40,50,1,3,504,-0.5335517248963977,0.0,active_coupling,1.0
0.5,40,51,1,2,437,0.23718531747170052,0.0,active_coupling,1.0
0.5,40,52,1,3,525,0.34845665787005947,0.0,active_coupling,1.0
0.5,40,53,1,2,450,0.07281894537980256,0.0,active_coupling,1.0
0.5,40,54,1,3,299,-0.10291463980483699,0.0,active_coupling,1.0
0.5,40,55,1,2,350,0.13027462147943708,0.0,active_coupling,1.0
0.5,40,56,1,3,764,-0.38235554069274114,0.0,active_coupling,1.0
0.5,40,57,1,3,479,-0.7309455512181051,0.0,active_coupling,1.0
0.5,40,58,1,2,381,0.013095199070517434,0.0,active_coupling,1.0
0.5,40,59,1,2,341,0.28426231933658463,0.0,active_coupling,1.0
0.5,40,60,1,3,402,0.33656366404603577,0.0,active_coupling,1.0
0.5,40,61,1,2,762,-0.4914855462962907,0.0,active_coupling,1.0
0.5,40,62,1,3,304,-0.8441378678030727,0.0,active_coupling,1.0
0.5,40,63,1,3,451,-0.477206796238902,0.0,active_coupling,1.0
0.5,40,64,1,2,315,-0.1498962522866746,0.0,active_coupling,1.0
0.5,40,65,1,3,426,-0.4591998644179527,0.0,active_coupling,1.0
0.5,40,66,1,2,788,-0.2518800643219958,0.0,active_coupling,1.0
0.5,40,67,1,3,367,0.2743598249378222,0.0,active_coupling,1.0
0.5,40,68,1,3,629,-0.1833072313513745,0.0,active_coupling,1.0
0.5,40,69,1,3,569,-0.3865757535164108,0.0,active_coupling,1.0
0.5,40,70,1,2,436,0.746188691591826,2.897865017031032,active_coupling,1.0
0.5,40,71,1,2,539,0.044471005931934794,0.0,active_coupling,1.0
0.5,40,72,1,2,500,0.8033501241989486,4.478061764666349,active_coupling,1.0
0.5,40,73,1,2,571,-0.052534188104332497,0.0,active_coupling,1.0
0.5,40,74,1,3,595,0.15193799919726242,0.0,active_coupling,1.0
0.5,40,75,1,2,831,-0.11558699463509126,0.0,active_coupling,1.0
0.5,40,76,1,3,385,-0.032871331292768965,0.0,active_coupling,1.0
0.5,40,77,1,3,489,-0.38063515614931753,0.0,active_coupling,1.0
0.5,40,78,1,2,369,0.024069200684374837,0.0,active_coupling,1.0
0.5,40,79,1,3,696,-0.2169446264845964,0.0,active_coupling,1.0
0.5,40,80,1,2,323,-0.33825321718387896,0.0,active_coupling,1.0
0.5,40,81,1,3,462,-0.40137946065969177,0.0,active_coupling,1.0
0.5,40,82,1,2,418,0.3337399941257208,1.0397697138272524,active_coupling,1.0
0.5,40,83,1,3,419,-0.3767747390671314,0.0,active_coupling,1.0
0.5,40,84,1,2,567,0.0015782233825096664,0.0,active_coupling,1.0
0.5,40,85,1,3,510,0.40269866801666704,0.0,active_coupling,1.0
0.5,40,86,1,3,640,0.13179190168161176,0.0,active_coupling,1.0
0.5,40,87,1,3,435,0.27260763805280364,0.0,active_coupling,1.0
0.5,40,88,1,3,474,-0.22440069954993397,0.0,active_coupling,1.0
0.5,40,89,1,3,690,-0.6273968022109411,0.0,active_coupling,1.0
0.5,40,90,1,2,487,-0.28880677128459936,0.0,active_coupling,1.0
0.5,40,91,1,2,454,0.17368825966734414,0.0,active_coupling,1.0
0.5,40,92,1,3,399,0.1630837829958438,0.7768646060058955,active_coupling,1.0
0.5,40,93,1,3,476,0.017685801254441885,0.0,active_coupling,1.0
0.5,40,94,1,2,412,0.3211719685063063,0.0,active_coupling,1.0
0.5,40,95,1,3,492,0.11991929822087857,0.0,active_coupling,1.0
0.5,40,96,1,3,399,-0.47130158561240043,0.0,active_coupling,1.0
0.5,40,97,1,3,323,0.31115704340162464,0.0,active_coupling,1.0
0.5,40,98,1,2,392,-0.31471432358935914,0.0,active_coupling,1.0
0.5,40,99,1,3,609,-0.40241988344914725,0.0,active_coupling,1.0
0.5,50,0,1,3,1311,0.9999677609920573,969.2526987515874,active_coupling,1.0
0.5,50,1,0,0,-1,0.9997152853165195,977.443023242596,active_coupling,1.0
0.5,50,2,0,0,-1,0.9840794175455889,959.5176700079553,active_coupling,1.0
0.5,50,3,0,0,-1,0.9468414717130713,943.4062050218866,active_coupling,1.0
0.5,50,4,0,0,-1,0.9894174735744568,928.3453829819553,active_coupling,1.0
0.5,50,5,0,0,-1,0.999999,976.0681330273734,active_coupling,1.0
0.5,50,6,0,0,-1,0.9963389895501367,965.1958519045729,active_coupling,1.0
0.5,50,7,0,0,-1,0.9999834696847635,962.3950144122042,active_coupling,1.0
0.5,50,8,0,0,-1,0.9999151899902606,965.0822217925854,active_coupling,1.0
0.5,50,9,0,0,-1,0.999999,947.4078622598454,active_coupling,1.0
0.5,50,10,0,0,-1,0.999999,980.7452994927501,active_coupling,1.0
0.5,50,11,0,0,-1,0.999999,984.5342004657141,active_coupling,1.0
0.5,50,12,0,0,-1,0.9995353374585008,973.6581391938245,active_coupling,1.0
0.5,50,13,0,0,-1,0.47847893134875563,964.2169376059761,active_coupling,1.0
0.5,50,14,0,0,-1,0.9996792939098946,971.0541118080744,active_coupling,1.0
0.5,50,15,0,0,-1,0.9510343988261797,962.1728970144482,active_coupling,1.0
0.5,50,16,0,0,-1,0.999999,948.0381250676269,active_coupling,1.0
0.5,50,17,0,0,-1,0.99538820211109,979.4865383787304,active_coupling,1.0
0.5,50,18,1,2,1161,0.999683931013271,983.8940443206293,active_coupling,1.0
0.5,50,19,1,2,432,0.9993058564498446,962.2684879434692,active_coupling,1.0
0.5,50,20,0,0,-1,0.999576701281679,949.2014266857063,active_coupling,1.0
0.5,50,21,0,0,-1,0.999999,963.02688536588,active_coupling,1.0
0.5,50,22,0,0,-1,0.9996539903430687,974.6235210107916,active_coupling,1.0
0.5,50,23,0,0,-1,0.9425131659852469,977.2415748133938,active_coupling,1.0
0.5,50,24,0,0,-1,0.999999,963.3217648248767,active_coupling,1.0
0.5,50,25,1,2,723,0.9979685521661957,968.8723443951662,active_coupling,1.0
0.5,50,26,1,2,782,0.999999,981.1145603335693,active_coupling,1.0
0.5,50,27,1,3,1211,0.9687078446414522,977.8183795986239,active_coupling,1.0
0.5,50,28,0,0,-1,0.9913843420338195,965.9611030696567,active_coupling,1.0
0.5,50,29,1,2,1873,0.9992584225522997,979.4329273964934,active_coupling,1.0
0.5,50,30,0,0,-1,0.9863660280097524,982.0015379930079,active_coupling,1.0
0.5,50,31,0,0,-1,0.999901152494346,974.5719719495912,active_coupling,1.0
0.5,50,32,0,0,-1,0.9482646453125823,968.3147787723275,active_coupling,1.0
0.5,50,33,1,2,330,0.9821934701034155,959.0169410778948,active_coupling,1.0
0.5,50,34,0,0,-1,0.9997937601419998,980.7877588754133,active_coupling,1.0
0.5,50,35,0,0,-1,0.999999,954.6910894103836,active_coupling,1.0
0.5,50,36,0,0,-1,0.9999355035719741,976.4356622914564,active_coupling,1.0
0.5,50,37,1,2,599,0.9432227867482911,977.1796021825563,active_coupling,1.0
0.5,50,38,0,0,-1,0.9734726742753211,975.8543825430895,active_coupling,1.0
0.5,50,39,0,0,-1,0.999419546437391,958.7598775020264,active_coupling,1.0
0.5,50,40,0,0,-1,0.9997032176414032,955.1021513569535,active_coupling,1.0
0.5,50,41,0,0,-1,0.999999,974.0374622415384,active_coupling,1.0
0.5,50,42,0,0,-1,0.9940164497046196,974.4467384062646,active_coupling,1.0
0.5,50,43,1,2,828,0.999999,956.3610091601332,active_coupling,1.0
0.5,50,44,1,3,320,0.9917033193675248,981.8387311541093,active_coupling,1.0
0.5,50,45,0,0,-1,0.9981718375488943,974.3071166717267,active_coupling,1.0
0.5,50,46,0,0,-1,0.9954834289855192,977.3640817113868,active_coupling,1.0
0.5,50,47,0,0,-1,0.9952662025259861,958.5931790475634,active_coupling,1.0
0.5,50,48,0,0,-1,0.8076459597757314,970.9107755086227,active_coupling,1.0
0.5,50,49,0,0,-1,0.9996791105124921,942.7361616323229,active_coupling,1.0
0.5,50,50,0,0,-1,0.999999,979.8040771839947,active_coupling,1.0
0.5,50,51,0,0,-1,0.9480423984815805,973.2104913912169,active_coupling,1.0
0.5,50,52,0,0,-1,0.8946712359364977,962.0647692709374,active_coupling,1.0
0.5,50,53,0,0,-1,0.999999,979.0035251833398,active_coupling,1.0
0.5,50,54,0,0,-1,0.9986268934602693,974.6706953962324,active_coupling,1.0
0.5,50,55,1,2,559,0.999999,978.8540979888653,active_coupling,1.0
0.5,50,56,1,3,640,0.21589489030592213,95.40628124918538,active_coupling,1.0
0.5,50,57,0,0,-1,0.999999,972.73522082038,active_coupling,1.0
0.5,50,58,0,0,-1,0.9997060875767965,953.7437061958858,active_coupling,1.0
0.5,50,59,0,0,-1,0.9994602760691104,981.9700085541217,active_coupling,1.0
