ramp_steps,mult,seed_idx,collapsed,collapse_step,collapse_J,collapse_type,final_m,final_wealth
1000,50,68,0,-1,,0,0.999999,983.2593753311064
1000,50,69,0,-1,,0,0.9976672894357186,985.8915486593194
1000,50,70,0,-1,,0,0.9738450205440412,975.8788306411532
1000,50,71,1,415,2.3674999999999997,3,0.9941446798533299,991.9533670459124
1000,50,72,0,-1,,0,0.9999181931233541,974.928734300804
1000,50,73,0,-1,,0,0.9994874696535802,986.1499284741852
1000,50,74,0,-1,,0,0.9999427853128814,983.2971006835531
1000,50,75,1,572,3.074,1,0.9988722440697254,988.8961490072732
1000,50,76,0,-1,,0,0.999944021142933,966.4684402452143
1000,50,77,1,358,2.1109999999999998,3,0.9925824662803004,976.1746589670388
1000,50,78,1,299,1.8455,1,0.8029729658563105,981.5995026893164
1000,50,79,0,-1,,0,0.9979708298170075,986.4078532232762
1000,50,80,0,-1,,0,0.999999,986.6659263512656
1000,50,81,1,693,3.6185,3,0.9999092262964694,979.2954523140943
1000,50,82,0,-1,,0,0.999999,969.7316072575213
1000,50,83,0,-1,,0,0.999999,976.0571098737462
1000,50,84,1,542,2.939,3,0.9999064926284001,980.7087294432664
1000,50,85,1,574,3.083,3,0.9244364981668575,980.0133728514077
1000,50,86,0,-1,,0,0.9999221079718162,991.1007318705007
1000,50,87,0,-1,,0,0.999936418274353,976.3957748796261
1000,50,88,0,-1,,0,0.9998526002000635,974.0403575936894
1000,50,89,1,682,3.569,1,0.999999,984.0893528638444
1000,50,90,0,-1,,0,0.9999470262795831,984.6765346776797
1000,50,91,1,428,2.426,1,0.999999,977.9819963932208
1000,50,92,0,-1,,0,0.9758745942674785,985.1248041262165
1000,50,93,0,-1,,0,0.9955984189271183,952.124140194457
1000,50,94,1,524,2.858,2,0.999999,982.9366463907768
1000,50,95,0,-1,,0,0.999999,980.760483919754
1000,50,96,0,-1,,0,0.999999,981.7227673154051
1000,50,97,0,-1,,0,0.9995846291350414,970.5910381134619
1000,50,98,0,-1,,0,0.9998716866895586,988.1394402515656
1000,50,99,0,-1,,0,0.999999,983.4391217324857
1000,60,0,0,-1,,0,0.9984446585144499,1482.0201302822663
1000,60,1,1,620,3.29,1,0.999999,1479.538339516149
1000,60,2,1,512,2.804,3,0.9998719595868409,1486.9163675022967
1000,60,3,0,-1,,0,0.999999,1482.6198293667699
1000,60,4,0,-1,,0,0.9675532311884869,1477.5678624085306
1000,60,5,0,-1,,0,0.999999,1471.7634372419975
1000,60,6,0,-1,,0,0.999999,1483.7745114598565
1000,60,7,0,-1,,0,0.9991344478719463,1478.1616186412216
1000,60,8,0,-1,,0,0.9999205315391998,1483.2821529145247
1000,60,9,0,-1,,0,0.9071985299825267,1456.2562681674292
1000,60,10,0,-1,,0,0.999999,1476.2790399876214
1000,60,11,0,-1,,0,0.999999,1452.1309477464065
1000,60,12,0,-1,,0,0.999999,1486.83166442025
1000,60,13,0,-1,,0,0.9998368225985744,1488.608093479177
1000,60,14,0,-1,,0,0.9996177313201474,1479.412180558777
1000,60,15,0,-1,,0,0.999999,1484.5887489594465
1000,60,16,0,-1,,0,0.9605803417542716,1484.7976929047688
1000,60,17,0,-1,,0,0.999999,1486.7241305498314
1000,60,18,0,-1,,0,0.999999,1468.4006996703624
1000,60,19,0,-1,,0,0.9976479821129921,1468.4146104001184
1000,60,20,0,-1,,0,0.999999,1459.494989263651
1000,60,21,1,421,2.3945,3,0.9980491828596,1485.9411028422485
1000,60,22,0,-1,,0,0.9827266777585788,1478.7936943420627
1000,60,23,0,-1,,0,0.999999,1486.1483415241898
1000,60,24,0,-1,,0,0.999999,1458.9994457579608
1000,60,25,0,-1,,0,0.9797843553640975,1429.0809221262882
1000,60,26,0,-1,,0,0.9961386630772036,1469.0480581104705
1000,60,27,0,-1,,0,0.9948466466561807,1479.0830758571556
