level,J,mult,seed_idx,collapsed,collapse_step,collapse_type,final_m,final_wealth,final_EC
L2,0.5,20,42,1,293,2,0.18711224395941067,0.0,0.16075833791911187
L2,0.5,20,43,1,277,2,0.7609620769520261,0.0,0.07293708628854902
L2,0.5,20,44,1,274,2,0.5165102092291147,0.0,0.07332552094864868
L2,0.5,20,45,1,282,2,-0.07340388483194955,0.0,0.2661265766079916
L2,0.5,20,46,1,294,3,0.25672601302198705,0.0,0.08974448086167944
L2,0.5,20,47,1,289,2,0.12179322900360054,0.0,0.11533318633082529
L2,0.5,20,48,1,286,2,0.33507321441677845,0.0,0.11536886530071237
L2,0.5,20,49,1,296,3,-0.048377017163877115,0.0,0.8284790455460983
L2,0.5,20,50,1,281,3,-0.00650621525362656,0.0,0.2853548013894728
L2,0.5,20,51,1,285,2,-0.2800875930844735,0.0,0.8466298071997115
L2,0.5,20,52,1,293,3,-0.29673016486149323,0.0,0.14929114065653215
L2,0.5,20,53,1,290,3,-0.6687102769223285,0.0,0.09334517472339038
L2,0.5,20,54,1,309,3,0.004506033504137169,0.0,0.753181275343728
L2,0.5,20,55,1,278,3,-0.11495962523556369,0.0,0.42516392205300824
L2,0.5,20,56,1,315,3,-0.032594263653321166,0.0,0.17629317168427663
L2,0.5,20,57,1,283,3,-0.5315221929031857,0.0,0.3473540497169468
L2,0.5,20,58,1,279,2,-0.3885857176272295,0.0,0.08073413780259178
L2,0.5,20,59,1,298,3,0.2922645120826377,0.0,0.24344741133329187
L2,0.5,20,60,1,298,2,0.06985177681715565,0.0,0.3893171813441308
L2,0.5,20,61,1,290,3,-0.24665408085982785,0.0,0.3772845086880974
L2,0.5,20,62,1,276,2,-0.28892881640517504,0.0,0.6433978615250553
L2,0.5,20,63,1,294,2,0.5933027498209634,0.0,0.0803539216811816
L2,0.5,20,64,1,272,3,0.26558543912793126,0.0,0.11492135300556679
L2,0.5,20,65,1,310,3,-0.18830964209992085,0.0,0.5709119471975398
L2,0.5,20,66,1,304,3,0.17831853261476602,0.0,0.8974957572496531
L2,0.5,20,67,1,284,2,-0.25414789652048875,0.0,0.8701394379585066
L2,0.5,20,68,1,294,3,-0.09689696327377267,0.0,0.44727401531463684
L2,0.5,20,69,1,291,2,0.2364972665904872,0.0,0.20091256049407452
L2,0.5,20,70,1,284,2,-0.5612023655845824,0.0,0.280686640457383
L2,0.5,20,71,1,296,2,0.6926564745708691,0.0,0.17551890895196734
L2,0.5,20,72,1,281,2,-0.15198173505771348,0.0,0.9054185152162458
L2,0.5,20,73,1,283,2,0.15982439090285544,0.0,0.760485780441677
L2,0.5,20,74,1,284,2,-0.8216841114064051,0.0,0.0740535267223767
L2,0.5,20,75,1,290,2,-0.3822065561043791,0.0,0.5662042027209641
L2,0.5,20,76,1,292,2,-0.1318088896482025,0.0,0.2041977960639208
L2,0.5,20,77,1,292,2,0.3207705021179103,0.0,0.5845703710936554
L2,0.5,20,78,1,288,3,-0.22955669696156858,0.0,0.10460582079845404
L2,0.5,20,79,1,278,3,-0.08067132199065796,0.0,0.14168549871731295
L2,0.5,20,80,1,286,3,-0.036474250427381484,0.0,0.15019804344569684
L2,0.5,20,81,1,288,2,-0.3509187926382341,0.0,0.10913602340614756
L2,0.5,20,82,1,286,3,0.37943584398026126,0.0,0.35714308285641244
L2,0.5,20,83,1,275,3,-0.17566110812743954,0.0,0.2710689412742691
L2,0.5,20,84,1,289,2,0.0051585019575103586,0.0,0.21218344003095493
L2,0.5,20,85,1,299,2,0.0453586861159362,0.0,0.8838171370484134
L2,0.5,20,86,1,268,2,-0.05251629006315352,0.0,0.2932291207674433
L2,0.5,20,87,1,297,2,-0.03679449079434077,0.0,0.15892296291513447
L2,0.5,20,88,1,282,3,0.05402455562184788,0.0,0.16042124389643383
L2,0.5,20,89,1,285,3,0.2868533053794762,0.0,0.12800779029869613
L2,0.5,20,90,1,297,3,0.2903882913728192,0.0,0.17876767068448826
L2,0.5,20,91,1,278,3,-0.48083753001737384,0.0,0.10558524642480123
L2,0.5,20,92,1,283,3,-0.2350582907951777,0.0,0.12298616457582665
L2,0.5,20,93,1,283,3,0.17143937677108492,0.0,0.17308978488989418
L2,0.5,20,94,1,285,3,-0.2832953251876508,0.0,0.08028032616647095
L2,0.5,20,95,1,290,3,0.25338924735601565,0.0,0.6483505199931516
L2,0.5,20,96,1,274,2,0.0518539368044967,0.0,0.7901737438217856
L2,0.5,20,97,1,292,2,-0.18971352201259328,0.0,0.1917308060010614
L2,0.5,20,98,1,302,2,-0.42115551145405283,0.0,0.1448256612874867
L2,0.5,20,99,1,284,2,-0.00892003888766256,0.0,0.3978508506081113
L2,0.5,30,0,1,330,3,-0.22386549422192847,0.0,0.16089002761820698
L2,0.5,30,1,1,295,3,0.07983059466095943,0.0,0.7092342589603191
L2,0.5,30,2,1,329,3,-0.05910922640142411,0.0,0.16564059695441022
L2,0.5,30,3,1,336,2,-0.5358842726645572,0.0,0.06782059371034105
L2,0.5,30,4,1,338,3,-0.06220168404379245,0.0,0.6567874985273034
L2,0.5,30,5,1,329,3,-0.26608978010480727,0.0,0.8068380611807423
L2,0.5,30,6,1,301,2,-0.8465511102490977,0.0,0.07338452467384471
L2,0.5,30,7,1,327,2,0.5735482258772959,0.0,0.7649261001260267
L2,0.5,30,8,1,353,2,0.3487124966622305,0.0,0.09306446289052087
L2,0.5,30,9,1,302,2,-0.3149458676703707,0.0,0.2788514413221149
L2,0.5,30,10,1,306,3,0.33646387053021365,0.0,0.8220416611172967
L2,0.5,30,11,1,328,3,0.4484251284041732,0.0,0.12427834140171859
L2,0.5,30,12,1,287,2,0.281755501770728,0.0,0.08576740860380573
L2,0.5,30,13,1,295,3,-0.468255841698161,0.0,0.07283595759133148
