level,J,mult,seed_idx,collapsed,collapse_step,collapse_type,final_m,final_wealth,final_EC,minsky_count
L3,0.5,20,25,1,284,2,0.6540914801768754,0.0,0.1585210666045394,1
L3,0.5,20,26,1,285,2,0.41128756319714393,0.0,0.08327904992827238,1
L3,0.5,20,27,1,286,3,-0.040968271413030624,0.0,0.15215452933542478,1
L3,0.5,20,28,1,279,3,-0.09504347105620023,0.0,0.43424458286263395,1
L3,0.5,20,29,1,286,3,0.4209541564053733,0.0,0.08888650939521557,1
L3,0.5,20,30,1,285,3,-0.5507052323779981,0.0,0.31485515362445565,1
L3,0.5,20,31,1,283,3,0.07814883059704639,0.0,0.57426113185726,1
L3,0.5,20,32,1,286,3,0.09436496180540381,0.0,0.31418858509507636,1
L3,0.5,20,33,1,283,3,0.658705762314535,0.0,0.0678373889269674,1
L3,0.5,20,34,1,283,2,-0.2484548312176991,0.0,0.10869936838071921,1
L3,0.5,20,35,1,276,3,0.08532054020755922,0.0,0.47457843729198607,1
L3,0.5,20,36,1,287,2,-0.20138764940334203,0.0,0.14365274788712698,1
L3,0.5,20,37,1,282,3,0.3695645231941501,0.0,0.11456055747926298,1
L3,0.5,20,38,1,278,3,-0.5470881946559998,0.0,0.1854007552184735,1
L3,0.5,20,39,1,284,3,0.2017640341374472,0.0,0.3588432086814411,1
L3,0.5,20,40,1,285,2,0.16126380902667203,0.0,0.11084648688215712,1
L3,0.5,20,41,1,286,2,-0.4970078112029818,0.0,0.07643636421335807,1
L3,0.5,20,42,1,281,3,-0.5276774242159007,0.0,0.0701903065417185,1
L3,0.5,20,43,1,283,3,0.4836577341808181,0.0,0.07611655874472927,1
L3,0.5,20,44,1,287,2,-0.0016544587436586426,0.0,0.2344715129820797,1
L3,0.5,20,45,1,283,2,0.4565102040060334,0.0,0.12142002602216043,1
L3,0.5,20,46,1,271,2,0.18662332684873095,0.0,0.6283806984204837,1
L3,0.5,20,47,1,280,3,-0.10483529187073622,0.0,0.8743727432346033,1
L3,0.5,20,48,1,281,2,-0.28455755021086027,0.0,0.22310009664884767,1
L3,0.5,20,49,1,287,2,0.22573714485126833,0.0,0.13243027915593084,1
L3,0.5,20,50,1,285,2,-0.010440378284123218,0.0,0.21267090808453396,1
L3,0.5,20,51,1,279,2,0.4023178586170066,0.0,0.10295960865788054,1
L3,0.5,20,52,1,288,2,0.4428961279146353,0.0,0.49813596544738253,1
L3,0.5,20,53,1,283,2,0.2841426317993014,0.0,0.75217682524131,1
L3,0.5,20,54,1,284,2,-0.6843356652711198,0.0,0.06827333668123871,1
L3,0.5,20,55,1,276,3,-0.03673949449546528,0.0,0.16995496849961397,1
L3,0.5,20,56,1,287,3,0.7973009700128718,0.0,0.09751607339514831,1
L3,0.5,20,57,1,275,2,-0.3333240617550772,0.0,0.7460909803736528,0
L3,0.5,20,58,1,285,2,0.37132273614323913,0.0,0.16867896400141122,1
L3,0.5,20,59,1,284,2,-0.16488747641481816,0.0,0.4691185930191572,1
L3,0.5,20,60,1,280,3,-0.10674346766815589,0.0,0.7869212175811549,1
L3,0.5,20,61,1,289,2,0.029674609390671403,0.0,0.23776682034568977,1
L3,0.5,20,62,1,280,3,0.39021512986781615,0.0,0.4976876555590825,1
L3,0.5,20,63,1,269,2,0.04209486716354132,0.0,0.1597365340347977,0
L3,0.5,20,64,1,281,3,0.33180146300224617,0.0,0.7486688809187149,1
L3,0.5,20,65,1,278,2,-0.08401383044480754,0.0,0.7059538452718703,1
L3,0.5,20,66,1,277,3,0.3136387290071927,0.0,0.11101744111016577,1
L3,0.5,20,67,1,285,2,0.7239578854624469,0.0,0.09604773030125746,1
L3,0.5,20,68,1,282,2,-0.07509508841543774,0.0,0.133776663111138,1
L3,0.5,20,69,1,285,2,0.5315555217146457,0.0,0.11697138132550627,1
L3,0.5,20,70,1,285,2,-0.7053420297025853,0.0,0.08503758315197897,1
L3,0.5,20,71,1,269,3,-0.18793033980005702,0.0,0.48880150002381567,0
L3,0.5,20,72,1,281,2,0.3932303859538914,0.0,0.8043716602734553,1
L3,0.5,20,73,1,278,3,-0.13407852421110528,0.0,0.4870181212141611,1
L3,0.5,20,74,1,285,3,0.3622523608695803,0.0,0.1789999728431744,1
L3,0.5,20,75,1,276,2,-0.16332410090227797,0.0,0.14212660487936707,1
L3,0.5,20,76,1,283,2,-0.10246778635539944,0.0,0.3958877508104052,1
L3,0.5,20,77,1,285,2,-0.33581041099958325,0.0,0.0771004257283103,1
L3,0.5,20,78,1,282,2,0.688700355737468,0.0,0.07220783294352179,1
L3,0.5,20,79,1,287,3,-0.5358767387323989,0.0,0.08711006805321522,1
L3,0.5,20,80,1,282,2,-0.05929482546595617,0.0,0.6557242312077486,1
L3,0.5,20,81,1,285,3,0.011638652691859624,0.0,0.23708290671984916,1
L3,0.5,20,82,1,277,3,-0.22449763445672638,0.0,0.29221279676300804,1
L3,0.5,20,83,1,284,3,-0.20403671353907113,0.0,0.1888871847042276,1
L3,0.5,20,84,1,283,3,0.06092053003061973,0.0,0.2070083854623695,1
L3,0.5,20,85,1,285,2,0.4359464065746873,0.0,0.28234669090241055,1
L3,0.5,20,86,1,287,3,0.17551169304482897,0.0,0.6436647162628335,1
L3,0.5,20,87,1,273,2,-0.37397119815628993,0.0,0.13898945533980153,1
L3,0.5,20,88,1,287,2,0.09258461090675321,0.0,0.13194573806645285,1
L3,0.5,20,89,1,285,3,0.5676151773349283,0.0,0.16844528707432335,1
L3,0.5,20,90,1,275,3,-0.07031588823466464,0.0,0.39080757802882393,1
L3,0.5,20,91,1,283,2,-0.2295460048524823,0.0,0.15788279978207292,1
L3,0.5,20,92,1,281,2,0.054330763653649,0.0,0.12675043796596108,1
L3,0.5,20,93,1,288,2,0.17902753014636497,0.0,0.24422001054332831,1
L3,0.5,20,94,1,275,2,0.2200376436988422,0.0,0.8943906052939561,1
L3,0.5,20,95,1,284,2,0.8894828916325019,0.0,0.057082506775812086,1
L3,0.5,20,96,1,284,2,0.2845775303578259,0.0,0.7690788859066693,1
L3,0.5,20,97,1,287,2,-0.15865171887665327,0.0,0.12396497278219656,1
L3,0.5,20,98,1,288,3,-0.17525268178109807,0.0,0.37508229973505386,1
L3,0.5,20,99,1,273,3,-0.47726671741699433,0.0,0.10418639220242865,0
L3,0.5,30,0,1,312,3,0.45172361185978677,0.0,0.1124573527923334,1
L3,0.5,30,1,1,290,3,0.2933187596720755,0.0,0.8856213923451826,1
L3,0.5,30,2,1,294,2,-0.5782590382396073,0.0,0.09418123388631623,1
L3,0.5,30,3,1,320,2,0.2665047465465834,0.0,0.15570886085569774,1
L3,0.5,30,4,1,299,2,-0.8323927000424094,0.0,0.058529630346481606,1
L3,0.5,30,5,1,303,2,0.15064907812106604,0.0,0.5118407808566341,1
L3,0.5,30,6,1,309,2,-0.20612204517601967,0.0,0.3499421553869666,1
L3,0.5,30,7,1,314,2,0.08645451832485584,0.0,0.4568870592548541,1
