schedule,mult,seed_idx,collapsed,collapse_step,collapse_J,collapse_type,final_m,final_wealth
linear,50,30,1,521,0.5781499999999999,3,0.9724154424252125,952.5822408973522
linear,50,31,1,881,0.63215,3,0.999999,981.7491879014977
linear,50,32,1,778,0.6167,2,0.9642002208316307,990.3089655923299
linear,50,33,1,951,0.6426499999999999,3,0.999999,955.4411203692317
linear,50,34,0,-1,,0,0.9992554368356023,981.4389047581617
linear,50,35,0,-1,,0,0.999999,976.3862849631181
linear,50,36,0,-1,,0,0.988679320108883,990.8925385586695
linear,50,37,0,-1,,0,0.7165004960140433,975.2996323754554
linear,50,38,1,345,0.55175,3,0.999999,981.1140676369221
linear,50,39,0,-1,,0,0.9909800742874048,989.6961496589417
linear,50,40,1,601,0.59015,2,0.999999,975.7264142947428
linear,50,41,0,-1,,0,0.9785795444843713,972.2706560141784
linear,50,42,1,1464,0.7196,2,0.999999,984.0449819928118
linear,50,43,1,648,0.5972,3,0.9527560445111604,976.5529188476366
linear,50,44,0,-1,,0,0.9994016848506356,969.7881656014831
linear,50,45,0,-1,,0,0.9936713303241508,990.7448441840777
linear,50,46,0,-1,,0,0.9910266978328647,974.85875783562
linear,50,47,1,707,0.60605,2,0.999727866652666,965.5192215998738
linear,50,48,1,1242,0.6863,3,0.8986632094273839,974.3505632926814
linear,50,49,0,-1,,0,0.9537261558990079,967.253873555687
linear,50,50,1,669,0.6003499999999999,1,0.9995081758859808,983.563811371396
linear,50,51,0,-1,,0,0.9999297832475831,975.7679646375377
linear,50,52,1,1565,0.73475,3,0.9998883004865289,970.8332784715775
linear,50,53,0,-1,,0,0.9904945339886794,987.3397590262772
linear,50,54,0,-1,,0,0.9944928037179475,974.4552200187914
linear,50,55,0,-1,,0,0.999999,980.4199765865054
linear,50,56,0,-1,,0,0.999999,979.5587744230282
linear,50,57,1,1497,0.72455,3,0.9865288166284495,986.0648564728688
linear,50,58,0,-1,,0,0.999999,977.377062843177
linear,50,59,1,836,0.6254,2,0.8868930141865223,973.5690559897325
